Datetime,Price,Market Cap,Volume
2025-01-12 21:02:42.083000,94612.20014403955,1874108879054.9343,14764406461.72982
2025-01-12 22:08:37.730000,94762.22675114391,1877086946518.6628,16254301870.46889
2025-01-12 23:03:40.915000,95011.90335368075,1881988660432.1865,14520759539.505108
2025-01-13 00:03:33.133000,94940.61616931802,1880193504486.3022,17680136553.271294
2025-01-13 01:03:45.341000,95116.66736517011,1884326082882.5728,18761997474.97569
2025-01-13 02:06:59.760000,94918.71731944467,1880951693768.6829,18899364201.297726
2025-01-13 03:03:45.476000,94576.45970517748,1873980953435.7957,16908815156.221811
2025-01-13 04:03:53.852000,94657.53871057613,1874662001528.3662,17519276953.260574
2025-01-13 05:04:02.372000,94290.51967369077,1867610564007.201,17178076659.898485
2025-01-13 06:03:43.099000,93873.37040550246,1859074504884.5586,18990195890.991276
2025-01-13 07:00:36.404000,94454.77089638807,1870314882306.9236,19608932595.53299
2025-01-13 08:04:04.515000,95230.50136357336,1888177016590.0698,22093204642.369175
2025-01-13 09:03:18.201000,94129.18563934106,1864488668383.499,21637677987.858166
2025-01-13 11:03:39.288000,94124.68513319505,1864719945065.6326,25920424360.28362
2025-01-13 12:04:10.854000,94466.35491829069,1870730018652.5925,26294147194.923447
2025-01-13 13:03:43.466000,94137.938359676,1866254202658.3599,26625091410.36451
2025-01-13 14:02:43.832000,93330.90109420891,1848844898565.1619,24595811426.891106
2025-01-13 15:01:18.929000,93493.69014743694,1853230309093.1826,29457691722.98346
2025-01-13 16:03:45.504000,92923.16432445054,1841515694708.2166,30545180399.390472
2025-01-13 17:03:37.047000,92965.67305622298,1842027151526.8801,31976965479.509632
2025-01-13 18:08:18.214000,91618.16277553422,1812010755730.234,35966239411.36433
2025-01-13 19:03:38.313000,91066.50969072059,1805902221723.4756,35532056385.17425
2025-01-13 20:08:25.727000,90897.722821227,1794913372781.4033,45530874537.04383
2025-01-13 21:03:34.838000,91046.88264301587,1803797177080.5168,36985694791.77502
2025-01-13 22:03:45.868000,91673.98885470458,1820897675801.519,51378527750.9967
2025-01-13 23:03:28.725000,92196.84406025457,1832342812722.7148,60069167782.894875
2025-01-14 00:03:45.245000,91203.86504365341,1808969067569.5762,63294636052.41681
2025-01-14 01:02:56.846000,91929.4735169686,1819145087225.1306,65988857474.12217
2025-01-14 02:03:35.992000,92048.18959367441,1823912509166.7317,60726972493.96535
2025-01-14 03:03:30.727000,92270.75674260661,1826422795137.2085,65409141704.89955
2025-01-14 04:03:36.362000,93565.16184051157,1856048844582.1929,67056794968.69003
2025-01-14 05:03:39.183000,94163.89074775224,1865324641780.8218,64619689277.80718
2025-01-14 06:02:27.487000,94358.10541149687,1869004210966.5212,76202470133.42224
2025-01-14 07:03:39.758000,94504.26849514963,1874285344084.8694,76240406704.08989
2025-01-14 08:03:49.692000,94451.91272177773,1871521165462.6743,68556863913.115425
2025-01-14 09:03:34.882000,94804.22561805036,1878252630517.9133,75104858258.58163
2025-01-14 10:03:45.339000,94883.68177638578,1879636423085.8718,62611665413.58454
2025-01-14 11:03:28.110000,94835.87012890847,1878859338541.6084,64368202210.18851
2025-01-14 12:07:06.814000,95164.61606201969,1883874737019.3884,75071950802.39659
2025-01-14 13:02:08.027000,94861.40427632442,1880077642694.936,71966580257.06445
2025-01-14 14:03:31.814000,95026.56634935715,1879651190086.6567,74814084014.78178
2025-01-14 15:03:44.142000,94835.05605501651,1878826790070.1995,70933891063.53653
2025-01-14 16:03:43.031000,95629.83923389435,1894712147989.2346,64460194062.405136
2025-01-14 17:03:40.587000,97094.58071458963,1923629102279.1401,74508382615.69324
2025-01-14 18:03:44.825000,96632.48456504791,1913389382779.8435,75492371208.10454
2025-01-14 19:03:42.018000,96497.89985560528,1912459039073.1033,70761998129.84544
2025-01-14 20:03:48.284000,95944.70227292187,1901862526284.176,64110821723.8048
2025-01-14 21:01:13.477000,96294.5147067344,1907059816151.5222,58305853626.61659
2025-01-14 22:03:53.442000,96149.71628658813,1907613576711.285,62701253650.44246
2025-01-14 23:03:45.730000,96378.29791315526,1911215073823.5427,60314474174.0106
2025-01-15 00:03:31.691000,95703.54557746142,1895196239844.5767,55385264601.72938
2025-01-15 01:03:49.663000,96479.71578368786,1909682921645.8862,60439824201.141304
2025-01-15 02:04:01.019000,96725.04207974242,1918154683200.24,60381373075.22343
2025-01-15 03:02:04.123000,96445.88153298218,1914357164059.709,59629536461.38975
2025-01-15 04:03:44.525000,96376.90845087137,1908766101887.9272,58621957575.9262
2025-01-15 05:03:44.415000,96436.0987455667,1909750502096.215,56403747634.40745
2025-01-15 06:07:55.223000,96732.3889915353,1916181189857.3633,55003803656.64044
2025-01-15 07:03:55.939000,96535.26005426567,1913129933642.5452,54518480110.09934
2025-01-15 08:02:15.310000,96898.59910352033,1919339514386.5293,49799160879.9242
2025-01-15 09:03:49.690000,97319.90221599893,1928421765676.439,55200572419.15661
2025-01-15 10:01:49.127000,96793.91016297831,1918476512503.5537,53559713706.790985
2025-01-15 11:03:52.300000,97344.12825674939,1927951158230.618,53360021234.20332
2025-01-15 12:03:37.905000,97152.95580661457,1924488917626.4807,50552881821.97376
2025-01-15 13:03:57.754000,96975.82520640592,1922110604594.7646,54684739232.77768
2025-01-15 14:03:48.176000,97070.2794164871,1923533427788.1519,49829142083.195526
2025-01-15 15:04:01.744000,97253.12746750425,1926753731438.3025,52173876050.67543
2025-01-15 16:01:32.692000,97164.45043723319,1924840245485.4915,50442396616.395164
2025-01-15 17:03:49.483000,96767.4148350854,1916910705980.4463,49044651635.58645
